seq,name,link,image,price,star,review,store,site,label
17,짝꿍딜 : 레이디가구 - 패밀리침대/패브릭소파/데이베드/붙박이장,https://mall.hanssem.com/goods/goodsDetailMall.do?gdsNo=814351&searchdetail=gds_view&searchPagelist=1&searchKey=%EA%B0%80%EA%B5%AC,https://image.hanssem.com/hsimg/gds/220/814/814351_A1.jpg?v=20221006170503,"61,920~",5,1048,삼익가구,한샘,모던시크
18,[7%쿠폰] 조립식 팬트리 철제 수납 선반 앵글,https://ohou.se/productions/519975/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/164316031097877307.JPG?gif=1&w=360&h=360&c=c&q=0.8&webp=1,36900,4.6,1254,홈던트하우스,오늘의 집,북유럽
19,캐더린 LED 통서랍 수납침대 매트선택 (SS/Q),https://ohou.se/productions/310649/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/164983313097027540.jpg?gif=1&w=360&h=360&c=c&q=0.8&webp=1,199900,4.6,6794,리샘,오늘의 집,북유럽
20,★드레스룸 판매 1위★ 동서가구 뉴스틸 멀바우/그레이 시스템 드레스룸 2colors,https://mall.hanssem.com/goods/goodsDetailMall.do?gdsNo=506340&searchdetail=gds_view&searchPagelist=1&searchKey=%EA%B0%80%EA%B5%AC,https://image.hanssem.com/hsimg/gds/220/506/506340_A1.jpg?v=20221006170503,"53,160",4.5,551,동서가구,한샘,레트로
21,STB 다용도 수납벤치 수납함 2size 3colors (벤치쿠션추가구매),https://ohou.se/productions/71236/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/165810693200901924.jpg?gif=1&w=360&h=360&c=c&q=0.8&webp=1,42900,4.6,3765,아리아퍼니쳐,오늘의 집,모던시크
22,[5%쿠폰] 로지 원형 카페 테이블 800 3colors,https://ohou.se/productions/1241971/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/165838354735796647.png?gif=1&w=360&h=360&c=c&q=0.8&webp=1,76900,4.7,9019,오트밀하우스,오늘의 집,러블리
23,레이디가구 어시스 사이드 테이블,https://mall.hanssem.com/goods/goodsDetailMall.do?gdsNo=538174&searchdetail=gds_view&searchPagelist=3&searchKey=%EA%B0%80%EA%B5%AC,https://image.hanssem.com/hsimg/gds/220/538/538174_A1.jpg?v=20211001093215,"39,000",5,5,레이디가구,한샘,레트로
24,삼익가구 애니 프리미엄 옷장/서랍장 시리즈,https://mall.hanssem.com/goods/goodsDetailMall.do?gdsNo=616791&searchdetail=gds_view&searchPagelist=3&searchKey=%EA%B0%80%EA%B5%AC,https://image.hanssem.com/hsimg/gds/220/616/616791_A1.jpg?v=20221006170503,"69,900",3.9,19,삼익가구,한샘,로맨틱
25,삼익가구 플랫 디자인 철제 수납장 선반장,https://mall.hanssem.com/goods/goodsDetailMall.do?gdsNo=865916&searchdetail=gds_view&searchPagelist=4&searchKey=%EA%B0%80%EA%B5%AC,https://image.hanssem.com/hsimg/gds/220/865/865916_A1.jpg?v=20220302103455,"149,000",0,0,삼익가구,한샘,북유럽
26,MULIG 옷걸이 행거,https://ohou.se/productions/153841/selling?affect_type=ProductCategoryIndex&affect_id=,https://image.ohou.se/i/bucketplace-v2-development/uploads/productions/15650448021761_j4rlO.jpg?gif=1&w=360&h=360&c=c&q=0.8&webp=1,17900,4.6,2405,이케아,오늘의 집,모던시크
